-4.6,1.02,8.65,-0.04,0.02,0.01,0.98,-0.12,-1.28,3
-5.03,0.45,8.86,0.36,-0.08,0.67,-9.64,0.06,-5.31,1
-4.75,2.29,8.32,-0.02,0.05,0.01,-0.12,-0.31,0.18,3
-7.63,0.95,9.65,-3.26,-2.24,1.45,-12.45,19.59,-25.57,1
-4.77,2.25,8.33,-0.04,0.03,0.02,-0.55,0.18,0.85,3
-5.18,1.2,8.54,-0.23,-0.55,0.24,-2.81,318.12,-53.16,1
-5.35,1.09,8.24,0.03,0.12,0.08,10.86,1.53,-22.83,3
-4.89,0.45,8.55,-0.03,-0.03,0.03,-0.37,-0.24,-0.18,3
-4.93,2.15,8.21,0.09,0.23,-0.01,-2.32,0.55,-4.39,1
-4.87,0.47,8.54,-0.01,0,0.02,-0.37,-0.18,-0.18,3
-4.65,1.52,8.55,-0.02,0.09,0.01,-1.95,0.49,1.16,3
-10.94,5.76,6.74,-1.96,6.37,2.82,-216.98,-50.23,-32.47,1
-4.6,1.99,5.74,2.73,0.62,-0.65,18.74,36.87,51.39,1
-7.05,6.08,18.03,1.45,8.14,13.57,73.79,-279.66,175.23,2
-13.2,7.5,9.43,-3.82,6.49,6.69,-158.75,151.49,-65.55,1
-4.98,1.22,8.72,-0.18,0.34,0.2,13.92,-0.92,-7.14,1
4.12,8.4,2.41,-0.29,-0.07,0.15,4.33,-0.12,-1.65,3
-4.69,1.09,8.56,-0.01,0.14,-0.02,-7.39,2.2,-5,3
-4.79,0.67,8.58,-0.03,0,0.02,0.43,-0.73,0.37,3
4.08,8.58,1.98,-0.05,-0.1,-0.02,-0.43,-0.06,-0.79,3
-4.61,1.13,8.64,-0.04,0.03,0.02,0.73,-0.06,-0.18,3
-4.77,1.86,8.43,-0.06,0.04,0,-7.32,-0.61,2.14,3
4.06,8.51,2.32,-0.05,-0.1,-0.03,0.18,-0.55,-2.2,3
-5.07,1.48,8.46,0.03,0.22,0.16,39.79,71.66,-8.85,1
-4.87,0.49,8.54,-0.01,0.01,0.02,-0.06,-0.12,-0.12,3
-5.01,1.03,8.34,-0.08,0.18,-0.1,-11.66,1.95,-8.91,3
-4.73,1.89,8.41,-0.03,0.03,-0.01,-6.04,0.49,2.32,3
-4.87,0.48,8.53,-0.01,0,0.01,0.12,-0.18,-0.06,3
-4.79,0.2,8.65,-0.02,-0.12,0.07,4.09,-0.49,0.67,3
3.98,8.55,2.29,-0.06,-0.09,-0.04,0.06,0.31,-0.18,3
4.07,8.48,2.32,-0.06,-0.1,-0.04,-0.06,-0.73,-1.71,3
4.1,8.58,1.97,-0.07,-0.09,-0.03,0.06,-0.31,-0.06,3
-1.98,0,12.59,6.63,2.11,8.37,-283.94,-91.61,2.5,2
-4.74,1.37,8.55,-0.06,0,0.03,0,0.43,-0.67,3
-4.64,1.73,8.49,-0.03,0.04,-0.01,-0.92,-0.79,0.31,3
-4.84,1.11,8.93,0.82,0.27,0.94,20.57,8.61,-10.56,1
-4.48,0.74,8.78,0.25,-0.24,0.23,19.71,0.79,10.38,3
-4.75,2.38,8.65,-0.09,0.74,0.17,-5.25,-6.84,-1.04,1
-4.78,0.7,8.57,-0.02,-0.01,0.01,-0.06,-0.06,-0.06,3
-8.06,1.78,7.46,-2.59,-0.34,-0.41,1.4,15.01,7.57,1
-4.59,1.11,9.82,0.28,-0.31,1.41,56.4,310.97,-60.67,1
-5.14,1.42,8.47,-0.18,-0.04,0.12,0.18,-0.31,2.99,1
-10.13,5.64,9.68,-1.03,5.22,6.01,14.47,-119.14,77.15,1
-6.19,2.08,7.17,-0.7,0.24,-0.76,21.48,2.75,-2.32,1
-1.03,2.49,12.54,7.06,1.51,7.06,-70.8,87.34,69.76,2
-4.8,0.62,8.58,-0.04,0.01,0.01,1.04,0.49,0,2
4.16,8.46,2.3,-0.02,-0.11,-0.05,0.24,-0.55,1.04,3
-2.67,0.71,15.04,3.01,-0.52,7.12,-10.93,544.25,1.28,2
-5.1,-0.17,8.5,-0.48,-1.66,-0.03,-1.28,-3.91,-11.66,1
-4.87,0.48,8.54,-0.01,0,0.02,0.18,-0.06,-0.12,3
-7.26,1.1,6.54,0.93,-0.67,1.42,71.23,-62.62,134.83,1
-4.87,0.48,8.53,-0.01,0,0.02,-0.06,-0.18,-0.06,3
4.21,8.48,2.06,-0.08,-0.11,-0.01,0.12,-0.06,0.37,3
-9.45,1.05,4.89,-2.47,-1.8,-1.41,78.92,-4.09,15.87,1
-13.75,1.35,4.67,-6.33,-1.36,-1.17,20.63,-87.1,-18.25,1
-4.57,2.05,8.44,0.1,0.17,0.01,-10.56,-5.98,-5.07,3
-4,0.43,14.22,2.53,-0.99,7.03,-259.89,-41.63,-127.01,2
-4.73,1.7,8.64,-0.32,-0.4,0.12,15.38,1.59,-40.65,1
-12.11,-1.62,-1.39,-9.57,-3.67,-10.65,23.38,5.86,23.01,2
-2.92,-17.91,0,-30.29,-32.34,27.05,0.92,-6.65,41.2,1
-4.75,2.43,8.57,0.12,0.5,0.27,66.1,260.86,31.68,2
-4.78,0.71,8.58,-0.01,0,0.02,-0.18,-0.06,-0.06,3
4.19,8.45,2.32,0,-0.12,-0.01,-0.18,-0.06,-2.5,3
-4.89,1.56,8.38,-0.52,-0.19,-0.24,5.31,-0.92,-11.54,1
9.44,3.23,12.84,-11.8,3.72,33.62,-22.46,177.31,34.91,1
4.09,8.49,2.33,-0.05,-0.1,0,-0.24,-0.73,-4.33,3
-4.61,1.26,8.58,-0.02,0.08,-0.02,1.34,0.92,-1.83,3
-4.87,0.46,8.53,-0.01,-0.02,0.01,0.24,-0.18,-0.12,3
-4.88,0.45,8.55,-0.02,-0.02,0.03,0.06,-0.06,-0.06,3
-10.28,4.08,1.57,-7.34,1.46,-7.42,282.47,-155.21,-32.9,2
-7.08,0.94,4.45,-3.77,-1.98,-4.32,67.26,97.11,27.53,1
-2.12,5.01,15.85,4.88,4.63,8.98,68.73,-165.53,12.51,2
-4.54,1.52,8.73,-0.19,0.03,0.05,2.75,5.62,-13.67,1
4.08,8.58,1.98,-0.06,-0.1,-0.02,0.06,0.37,-2.5,3
-4.76,0.47,8.6,0,0.02,0.02,0.24,-0.06,-0.12,3
-10.07,0.94,1.3,-3.16,-2.41,-4.81,-51.94,2.93,-75.2,1
-4.91,1.52,8.86,0.14,-0.37,0.66,10.68,163.27,-2.75,1
4.1,8.57,1.96,-0.06,-0.1,-0.05,0,-0.37,-0.06,3
5.23,8.09,1.31,-0.09,-0.04,-0.1,-0.12,12.27,1.34,3
-4.87,0.48,8.54,-0.01,-0.01,0.03,0.12,-0.12,0,3
-4.87,0.47,8.55,-0.01,0,0.03,0,-0.12,-0.18,3
-6.39,1.3,7.77,-1.08,0.31,-0.43,34.18,-15.56,-31.86,3
1.74,-0.21,5.76,8.86,-0.33,-1,64.39,-124.27,78.37,1
-4.73,2.34,10.56,0.3,0,2.46,-2.81,-3.36,-5.55,1
4.02,8.61,1.99,-0.07,-0.09,0,-0.06,-0.06,0.43,3
-5.21,1.16,9.53,0.94,-0.48,2.06,-33.14,359.44,-66.53,1
-4.77,0.66,8.59,-0.01,-0.01,0.03,-0.18,-0.06,-0.06,3
-4.63,2.17,8.37,0.02,0.07,-0.02,-8.24,-0.12,-0.92,3
4.11,8.56,1.96,-0.05,-0.1,-0.02,-0.43,0.12,0,3
-12.56,1.7,9.96,-2.89,1.02,8.4,-176.27,8.54,-60.73,2
-5.39,1.2,9.5,0.33,0,1.61,-30.88,-19.84,2.44,1
4.13,8.57,1.93,-0.04,-0.09,-0.07,-0.61,0.12,-0.24,3
-2.2,4.83,5,6.59,3.75,0.75,54.08,-154.3,-15.2,1
-4.45,1.56,8.96,-0.17,-0.1,0.28,12.39,70.68,-6.1,1
4.14,8.55,1.99,-0.04,-0.1,-0.04,-0.55,-0.43,-1.83,3
-4.88,0.47,8.53,-0.02,0,0.01,0.12,-0.18,-0.06,3
-4.88,0.49,8.53,-0.02,0,0.01,-0.18,-0.18,-0.18,3
-4.8,2.45,8.25,-0.04,0.02,0.01,-0.49,0.06,-0.12,3
-4.75,2.19,8.36,-0.01,0,0.05,5.13,-0.06,2.75,3
-4.89,0.43,8.56,-0.03,-0.01,0.04,3.17,0.18,-0.31,3
5.34,7.06,3.62,-0.15,-0.17,-0.12,-6.41,13.55,25.09,3
-5.34,1.03,8.25,-0.03,0.04,0.05,15.81,8.54,-6.04,1
-5.91,-0.46,8.33,-3.76,-3.77,-0.67,50.66,-41.32,-22.34,1
-5.29,2.04,9.17,1.38,0.16,2.21,9.7,276.73,-47.12,1
-5.03,1.98,8.33,0.03,0.25,0.09,-3.78,-1.59,-2.2,1
-4.47,2.01,8.67,-0.14,0.16,0.05,7.75,-1.46,13.31,1
-4.76,2.28,8.32,-0.03,0.04,0.01,-0.12,-0.24,0,3
-4.89,0.87,8.49,-0.31,-0.8,-0.03,-3.17,4.46,16.17,1
-4.69,1.4,8.62,-0.08,-0.09,0.09,-3.72,1.4,1.77,3
-5.56,6.59,16.72,2.97,7.82,12.02,-149.41,-42.97,29.36,2
-4.88,0.48,8.54,-0.02,0,0.02,-0.18,-0.12,-0.12,3
-6.28,-3.36,5.31,-2.47,-6.06,-3.33,-68.36,315.12,-11.47,2
-5.07,2.09,8.23,-0.04,0.18,0.02,0.92,-1.1,-8.67,1
-4.88,0.46,8.54,-0.02,-0.01,0.02,-0.31,-0.12,-0.24,3
-1.87,-0.56,11.8,6.56,-1.7,6.9,-77.21,149.72,41.26,2
4.11,8.57,1.98,-0.05,-0.09,-0.02,-0.37,-0.43,-1.22,3
16.29,-22.81,-14.75,2.51,13.61,-26.23,0,-0.49,-1.16,3
-4.87,0.48,8.52,-0.01,0,0.01,-0.18,-0.12,-0.06,3
-5.05,1.35,8.53,-0.01,0.17,0.19,30.94,41.81,-18.25,1
4.02,8.52,2.3,-0.04,-0.1,-0.03,0.55,-0.79,-1.04,3
4.15,8.54,2.02,-0.05,-0.1,-0.01,-0.18,-0.85,-1.71,3
-3.87,0.59,13.21,3.47,-0.94,6.86,-36.32,-5.19,-225.95,2
-7.3,-0.64,5.57,-4.68,-3.44,-3.47,-49.56,22.34,-29.91,1
-6.14,1.66,7.5,-0.79,-0.27,-0.51,-5.19,14.77,-1.16,1
-4.87,0.48,8.55,-0.01,0.01,0.03,-0.24,-0.12,-0.06,3
-7.92,9.51,9.85,-1.16,11.25,2.95,85.45,-146.79,199.52,2
-5.05,0.82,9.28,0.14,-0.4,1.03,-9.46,1.16,1.77,1
4.23,8.5,1.98,-0.03,-0.11,-0.04,0.06,0.24,-0.37,3
-9.14,2.64,4.6,-1.7,-0.37,-1.05,-12.57,13.31,16.6,1
4.21,8.52,1.96,-0.03,-0.11,-0.04,-0.24,-0.12,-1.65,3
-5.78,2.64,5.84,1.87,1.78,-0.26,6.77,-108.28,64.27,1
-4.71,2.61,8.27,-0.03,0.14,-0.01,0,-2.32,-2.08,3
-3.11,-0.18,11.25,4.84,-1.44,5.62,-47,18.98,-74.52,2
